raw_text,clean_text
"Topup Rp 63.000 jam segini lancar jaya, mantap min.",topup rp 63000 jam segini lancar jaya mantap min
"tolong hapus akun saya dengan nik 3171234567890001, saya mau ganti nomor baru.",tolong hapus akun saya dengan nik [NIK_SENSOR] saya mau ganti nomor baru
"min, saldo gopay saya kok blm masuk?? pdhl udh transfer dr jam 7 pagi. tolong cek no hp saya 0813 4455 6677",min saldo gopay saya kok belum masuk pdhl udh transfer dr jam 7 pagi tolong cek no hp saya [HP_SENSOR]
"Admin tlg respon dm, sy udh kirim bukti trf ke email admin.fake@hack.id. Thx.",admin tlg respon dm saya udh kirim bukti trf ke email [EMAIL_SENSOR] terima kasih
"sy lupa pin, tlg reset ke email admin.fake@hack.id atau wa ke 0813 4455 6677. urgent!!",saya lupa pin tlg reset ke email [EMAIL_SENSOR] atau wa ke [HP_SENSOR] urgent
"Tolong hapus akun saya dengan nik 3171234567890001, saya mau ganti nomor baru.",tolong hapus akun saya dengan nik [NIK_SENSOR] saya mau ganti nomor baru
Gmn sih GoPay?? topup via mbanking gagal mulu tp saldo kepotong. Balikin woy!,gmn sih gopay topup via mbanking gagal melulu tapi saldo kepotong balikin woy
"admin tlg respon dm, sy udh kirim bukti trf ke email admin.fake@hack.id. thx.",admin tlg respon dm saya udh kirim bukti trf ke email [EMAIL_SENSOR] terima kasih
"min, saldo gopay saya kok blm masuk?? pdhl udh transfer dr jam 7 pagi. tolong cek no hp saya +62818000999",min saldo gopay saya kok belum masuk pdhl udh transfer dr jam 7 pagi tolong cek no hp saya [HP_SENSOR]
"Min, saldo gopay saya kok blm masuk?? pdhl udh transfer dr jam 7 pagi. Tolong cek no hp saya 0857-1122-3344",min saldo gopay saya kok belum masuk pdhl udh transfer dr jam 7 pagi tolong cek no hp saya [HP_SENSOR]
"Topup Rp 94.000 jam segini lancar jaya, mantap min.",topup rp 94000 jam segini lancar jaya mantap min
"admin tlg respon dm, sy udh kirim bukti trf ke email budi_geming@gmail.com. thx.",admin tlg respon dm saya udh kirim bukti trf ke email [EMAIL_SENSOR] terima kasih
